replication,Flat table K0,AI typed lift Ktheta,AI plus source/availability audit Ktheta+E,Post-index source certificate Kpost,Prospective reference KP
4541,0.14230769230769225,0.36555754262331314,0.27149970063124174,0.14230769230769225,0.26387417357003806
4542,0.14257594774590154,0.3493011484366757,0.24045040138154833,0.14257594774590154,0.16114214335327467
4543,0.14861324529811912,0.37449941933457376,0.28277234807290924,0.14861324529811912,0.19706063128301504
4544,0.14072947880060435,0.34382344135141496,0.23018792510162123,0.14072947880060435,0.12105811062846226
4545,0.13999246936400359,0.34597989074765134,0.23197484276729555,0.13999246936400359,0.36431132075471695
4546,0.15469167250525473,0.3563052978796853,0.2422272507488611,0.15469167250525473,0.3287312783565938
4547,0.14999329932993305,0.37541350521005684,0.2848404117602476,0.14999329932993305,0.2652832216533457
4548,0.09810991099109907,0.3183548227931706,0.23848982360414303,0.09810991099109907,0.2269479598039304
4549,0.1231817716333846,0.32007601066935554,0.20978847807194187,0.1231817716333846,0.30872727272727274
4550,0.11350000000000002,0.3085580374141778,0.19911607482835558,0.11350000000000002,0.3044107966107966
4551,0.12189375320020485,0.3194944560529226,0.20920140570543544,0.12189375320020485,0.2621540993642334
4552,0.165604410441044,0.3956059166721805,0.30300301246227285,0.165604410441044,0.3667213554508636
4553,0.15034240032641172,0.38539141905466845,0.3040980374565134,0.15034240032641172,0.23451164090147136
4554,0.17035048069421596,0.3962785396855925,0.297856117982753,0.17035048069421596,0.24656911495973996
4555,0.16294089766376843,0.36680564869427584,0.25172950206101485,0.16294089766376843,0.3044097195907541
4556,0.16277896711586837,0.37200865678388906,0.26045937933604135,0.16277896711586837,0.40428507181263085
4557,0.12938607270865338,0.3297969557266808,0.2198217660360548,0.12938607270865338,0.2316240631348439
4558,0.1849898991111698,0.3926570667079562,0.27333433519357275,0.1849898991111698,0.22715221743068278
4559,0.13964510953817313,0.3439192662285555,0.2375483133807647,0.13964510953817313,0.22311232782811735
4560,0.172,0.371935888246705,0.24787177649340997,0.172,0.21565378289473686
4561,0.15651630284609003,0.3584840860348036,0.23893556637742708,0.15651630284609003,0.16783549719760243
4562,0.11967943329690878,0.29798956607008037,0.17162026554634327,0.11967943329690878,0.22910822281167115
4563,0.11891971305503515,0.3234207085599604,0.21900199100985046,0.11891971305503515,0.24621032468846676
4564,0.17041036172359134,0.3751470960523165,0.25447346865745035,0.17041036172359134,0.20072111489223787
4565,0.16168496473985897,0.37227105440521013,0.26217217933070236,0.16168496473985897,0.3393650793650793
4566,0.16777993880068576,0.37310697379793634,0.2586540699945012,0.16777993880068576,0.298502879941892
4567,0.11029246770817074,0.3284937960190351,0.2414026566217288,0.11029246770817074,0.16069522326064384
4568,0.12249734191606208,0.33518083411972993,0.2383669844073356,0.12249734191606208,0.3181999709793827
